id,cluster_hint,riasec_R,riasec_I,riasec_A,riasec_S,riasec_E,riasec_C,skill_programming,skill_problem_solving,skill_communication,skill_creativity,skill_leadership,skill_analytical,skill_mathematics,skill_design,skill_research,skill_teamwork,subject_mathematics,subject_science,subject_arts,subject_languages
student_1,Creative,0.225,0.3846,0.9253,0.5475,0.4852,0.3217,0.3957,0.6001,0.7592,0.9478,0.4928,0.4563,0.4017,0.865,0.6158,0.5331,0.3012,0.4048,0.9282,0.652
student_2,Business/Leadership,0.3162,0.5443,0.3853,0.4948,0.7851,0.7847,0.3992,0.6916,0.8065,0.483,0.9201,0.7482,0.5786,0.3537,0.5297,0.8146,0.595,0.5068,0.3994,0.7715
student_3,Tech/Analytical,0.2111,0.9156,0.2169,0.2864,0.4344,0.5479,0.9096,0.9353,0.432,0.3578,0.461,0.8831,0.7676,0.2941,0.7721,0.5626,0.9106,0.8647,0.2212,0.4098
student_4,Tech/Analytical,0.2249,0.8378,0.2249,0.3773,0.3994,0.5559,0.9343,0.8291,0.5087,0.2682,0.3946,0.8582,0.8508,0.3571,0.7452,0.5374,0.8383,0.82,0.2308,0.4441
student_5,Business/Leadership,0.2702,0.5443,0.3422,0.5162,0.904,0.7099,0.4513,0.6996,0.8985,0.5712,0.8989,0.7565,0.6621,0.4749,0.5505,0.7414,0.6024,0.4864,0.3728,0.7416
student_6,Social/People,0.2231,0.5151,0.4955,0.8666,0.538,0.4959,0.2255,0.5291,0.9016,0.5969,0.7114,0.4065,0.3743,0.4851,0.5676,0.8911,0.4253,0.5211,0.6679,0.8872
student_7,Creative,0.208,0.4236,0.9138,0.6175,0.4195,0.2746,0.3202,0.5234,0.6695,0.9769,0.568,0.4227,0.3102,0.9226,0.5736,0.5803,0.3097,0.2775,0.98,0.7359
student_8,Business/Leadership,0.2739,0.4806,0.3372,0.567,0.901,0.727,0.449,0.7859,0.9193,0.5675,0.9015,0.7248,0.6246,0.409,0.5397,0.7331,0.666,0.526,0.3806,0.8131
student_9,Social/People,0.0755,0.4812,0.4699,0.8157,0.5235,0.5633,0.2937,0.5439,0.98,0.6606,0.7755,0.4342,0.3535,0.4262,0.5387,0.8612,0.5,0.4919,0.7057,0.8754
student_10,Creative,0.181,0.4621,0.9675,0.4777,0.4321,0.288,0.2926,0.5108,0.6571,0.8872,0.4985,0.46,0.4162,0.8574,0.642,0.5409,0.2979,0.3788,0.872,0.6663
student_11,Business/Leadership,0.2896,0.487,0.3645,0.5884,0.9205,0.7225,0.4421,0.7133,0.8383,0.6257,0.9231,0.7546,0.6312,0.5053,0.5585,0.7389,0.6688,0.4693,0.3751,0.7776
student_12,Creative,0.2133,0.4213,0.9196,0.5378,0.4792,0.3161,0.3475,0.4919,0.715,0.9273,0.5095,0.4054,0.3122,0.9368,0.5986,0.5738,0.301,0.351,0.9528,0.632
student_13,Tech/Analytical,0.303,0.8289,0.173,0.3609,0.3948,0.6557,0.8283,0.853,0.5002,0.3521,0.4298,0.878,0.772,0.3436,0.7554,0.5731,0.932,0.7994,0.181,0.4575
student_14,Creative,0.1234,0.3468,0.874,0.5011,0.4715,0.2698,0.3578,0.5186,0.6746,0.8615,0.4616,0.3938,0.3094,0.9438,0.5605,0.6595,0.3205,0.3577,0.8843,0.6791
student_15,Practical/Realistic,0.9016,0.612,0.2781,0.2806,0.4413,0.5623,0.6029,0.8428,0.5914,0.3797,0.5493,0.74,0.8509,0.3707,0.5053,0.6422,0.8771,0.8272,0.2666,0.4007
student_16,Creative,0.1511,0.4197,0.8772,0.483,0.4293,0.2698,0.3517,0.5209,0.7095,0.9182,0.4916,0.4182,0.3298,0.9264,0.6175,0.5158,0.3035,0.3763,0.8616,0.669
student_17,Practical/Realistic,0.9568,0.687,0.2885,0.3493,0.4535,0.6079,0.6754,0.8374,0.5246,0.398,0.5444,0.732,0.85,0.374,0.4924,0.5084,0.828,0.7513,0.2297,0.3941
student_18,Social/People,0.1187,0.4267,0.5497,0.8991,0.4617,0.4806,0.3322,0.521,0.9108,0.5859,0.685,0.3646,0.4119,0.4876,0.5967,0.9583,0.4383,0.4835,0.7155,0.8491
student_19,Practical/Realistic,0.8023,0.656,0.3083,0.3401,0.4568,0.5841,0.7261,0.8185,0.5154,0.3664,0.5843,0.8393,0.8627,0.3335,0.5492,0.5427,0.8275,0.7868,0.233,0.4049
student_20,Creative,0.1458,0.4069,0.8745,0.452,0.4282,0.2635,0.4069,0.5797,0.6997,0.9699,0.5026,0.421,0.4014,0.9182,0.565,0.5436,0.2705,0.3034,0.9512,0.7144
student_21,Business/Leadership,0.334,0.5126,0.3547,0.5472,0.8462,0.7374,0.3741,0.6956,0.8057,0.5006,0.9081,0.7824,0.6411,0.3796,0.5057,0.8422,0.606,0.4899,0.4246,0.7066
student_22,Business/Leadership,0.2864,0.4895,0.4058,0.5734,0.8991,0.8409,0.423,0.739,0.8524,0.5613,0.9642,0.7413,0.6226,0.495,0.5347,0.7648,0.6061,0.4174,0.4863,0.7037
student_23,Social/People,0.1752,0.4226,0.5068,0.9389,0.4656,0.5021,0.3145,0.5234,0.926,0.5876,0.672,0.4029,0.3137,0.4012,0.5648,0.9306,0.3201,0.4658,0.7209,0.9196
student_24,Tech/Analytical,0.2495,0.8108,0.2533,0.2704,0.4426,0.5936,0.864,0.866,0.518,0.3254,0.4141,0.8606,0.8307,0.3279,0.7294,0.5601,0.8368,0.7885,0.2186,0.3907
student_25,Practical/Realistic,0.911,0.6599,0.2449,0.331,0.4803,0.5332,0.7498,0.7865,0.5394,0.393,0.5083,0.7343,0.8078,0.3418,0.5382,0.6298,0.9,0.8533,0.2285,0.392
student_26,Tech/Analytical,0.3045,0.8765,0.2338,0.3187,0.384,0.5839,0.9083,0.814,0.4405,0.3306,0.4151,0.8608,0.7887,0.3013,0.8006,0.5422,0.9023,0.8009,0.2312,0.4038
student_27,Practical/Realistic,0.9247,0.654,0.2412,0.2933,0.4413,0.6505,0.7264,0.7191,0.5292,0.3587,0.5492,0.7327,0.9,0.3922,0.5156,0.6181,0.8068,0.7386,0.2221,0.4384
student_28,Social/People,0.1951,0.4505,0.471,0.9239,0.4955,0.5155,0.2673,0.4839,0.9467,0.5862,0.7637,0.3853,0.3583,0.5344,0.4977,0.835,0.3437,0.5466,0.6796,0.9444
student_29,Creative,0.2272,0.4911,0.887,0.5092,0.4605,0.3664,0.346,0.5617,0.7256,0.9279,0.4812,0.4582,0.3952,0.8568,0.6056,0.5205,0.3503,0.2859,0.8965,0.6659
student_30,Tech/Analytical,0.2697,0.8838,0.2032,0.2869,0.3815,0.5745,0.9689,0.8958,0.4508,0.3858,0.5328,0.8903,0.7607,0.3311,0.7994,0.5224,0.9173,0.8802,0.2138,0.3977
student_31,Tech/Analytical,0.2596,0.8265,0.3113,0.3156,0.3608,0.6216,0.868,0.9059,0.5381,0.323,0.4817,0.8636,0.847,0.4123,0.7419,0.5252,0.8708,0.8232,0.2475,0.4112
student_32,Creative,0.2103,0.3584,0.98,0.5048,0.454,0.3268,0.3678,0.5583,0.6708,0.9374,0.5696,0.4997,0.4089,0.8811,0.5634,0.5454,0.3021,0.3904,0.8575,0.7065
student_33,Creative,0.2691,0.3971,0.8755,0.583,0.3861,0.203,0.3694,0.5278,0.6549,0.9513,0.5108,0.4251,0.2935,0.9385,0.6287,0.5456,0.3815,0.3028,0.8527,0.6195
student_34,Creative,0.1813,0.404,0.98,0.4969,0.4874,0.2771,0.3489,0.6075,0.6796,0.9789,0.523,0.4317,0.3706,0.9316,0.6202,0.499,0.2764,0.342,0.9176,0.6702
student_35,Tech/Analytical,0.2618,0.8359,0.2253,0.3223,0.4376,0.634,0.8694,0.8687,0.5121,0.3856,0.4325,0.8432,0.7796,0.3063,0.7797,0.5995,0.8974,0.8866,0.2632,0.3765
student_36,Creative,0.1667,0.3456,0.9271,0.5024,0.4076,0.2574,0.339,0.6049,0.6915,0.8706,0.4919,0.441,0.2613,0.8982,0.5924,0.5729,0.3608,0.387,0.9112,0.6136
student_37,Social/People,0.2535,0.4403,0.4992,0.8732,0.4132,0.5317,0.3264,0.4899,0.9224,0.6185,0.644,0.3811,0.3784,0.4551,0.5605,0.8514,0.4167,0.4987,0.6422,0.8917
student_38,Tech/Analytical,0.2399,0.8003,0.3151,0.243,0.3825,0.6052,0.9575,0.8228,0.5464,0.3504,0.4109,0.8684,0.8279,0.3261,0.7528,0.5346,0.9045,0.8764,0.3132,0.3507
student_39,Social/People,0.2166,0.5332,0.4899,0.8842,0.4991,0.4863,0.3362,0.4268,0.8723,0.5517,0.743,0.4774,0.3453,0.4924,0.5532,0.9526,0.358,0.5108,0.7441,0.8727
student_40,Tech/Analytical,0.244,0.8731,0.2611,0.2755,0.3918,0.5806,0.8768,0.9134,0.514,0.3227,0.4854,0.8621,0.852,0.3748,0.7174,0.528,0.9294,0.874,0.2492,0.4046
student_41,Tech/Analytical,0.3406,0.8177,0.2867,0.3077,0.4921,0.566,0.8647,0.8548,0.4106,0.3279,0.4181,0.8563,0.8344,0.4289,0.79,0.5257,0.8622,0.8707,0.1945,0.4771
student_42,Practical/Realistic,0.9372,0.7123,0.2024,0.2772,0.449,0.6108,0.6688,0.8663,0.4817,0.3494,0.5711,0.7502,0.8332,0.3458,0.5466,0.5857,0.84,0.8616,0.2716,0.3886
student_43,Business/Leadership,0.2888,0.572,0.3632,0.5649,0.9157,0.7583,0.441,0.6932,0.8475,0.5487,0.9252,0.7218,0.6254,0.4472,0.5527,0.7307,0.6818,0.512,0.4346,0.6496
student_44,Tech/Analytical,0.2522,0.94,0.243,0.311,0.3987,0.5573,0.9418,0.9075,0.5289,0.3168,0.5013,0.7988,0.8415,0.4301,0.7138,0.5293,0.9036,0.8316,0.1933,0.4025
student_45,Business/Leadership,0.2616,0.5784,0.4302,0.5235,0.9072,0.8278,0.4319,0.6903,0.8222,0.5015,0.869,0.6615,0.6016,0.4132,0.5612,0.7256,0.6658,0.5398,0.3047,0.7679
student_46,Tech/Analytical,0.1847,0.8479,0.2647,0.2987,0.3207,0.5966,0.85,0.9057,0.5141,0.314,0.4303,0.8094,0.8176,0.3866,0.7122,0.5693,0.8797,0.8196,0.2459,0.3603
student_47,Practical/Realistic,0.9145,0.6633,0.2776,0.2496,0.496,0.5966,0.7297,0.8025,0.4312,0.3862,0.5667,0.7101,0.8115,0.3998,0.4973,0.6727,0.8101,0.8283,0.2354,0.4267
student_48,Practical/Realistic,0.909,0.6386,0.2707,0.2877,0.4626,0.599,0.7375,0.8483,0.4409,0.392,0.5198,0.7282,0.8302,0.3958,0.4788,0.7045,0.8852,0.8074,0.2482,0.4095
student_49,Creative,0.1836,0.3974,0.9139,0.4228,0.3891,0.3336,0.3577,0.5417,0.7008,0.9357,0.4756,0.4149,0.3588,0.8558,0.6184,0.4731,0.3465,0.3713,0.9316,0.6944
student_50,Creative,0.127,0.3863,0.9007,0.5654,0.4628,0.2914,0.3824,0.4637,0.7092,0.9501,0.4423,0.4946,0.3632,0.8838,0.6247,0.6386,0.3071,0.3597,0.9021,0.6168
student_51,Creative,0.1858,0.3899,0.9072,0.4844,0.4909,0.2708,0.3439,0.5357,0.7472,0.9264,0.5336,0.4016,0.3587,0.929,0.6027,0.5847,0.2831,0.3959,0.98,0.6382
student_52,Practical/Realistic,0.8469,0.655,0.2485,0.2903,0.444,0.5126,0.6745,0.8543,0.5074,0.3023,0.6088,0.7098,0.895,0.3698,0.52,0.6824,0.7946,0.8427,0.2965,0.3689
student_53,Creative,0.2114,0.3563,0.9322,0.4935,0.4318,0.3366,0.3254,0.5009,0.6457,0.9411,0.4553,0.5112,0.2774,0.9592,0.6074,0.5466,0.281,0.3639,0.9187,0.6885
student_54,Social/People,0.1503,0.5001,0.4804,0.9085,0.5119,0.4891,0.3247,0.48,0.9567,0.5433,0.7053,0.4817,0.3078,0.4714,0.5717,0.9076,0.4148,0.5206,0.7268,0.8968
student_55,Business/Leadership,0.3404,0.4946,0.3491,0.5185,0.865,0.7201,0.4442,0.7578,0.8037,0.4955,0.9497,0.7129,0.5774,0.4851,0.5296,0.8616,0.6729,0.4835,0.4728,0.7296
student_56,Social/People,0.2652,0.5348,0.5872,0.9511,0.5433,0.5251,0.3329,0.4767,0.8854,0.5999,0.6928,0.3808,0.3794,0.5404,0.5537,0.9625,0.3517,0.4918,0.6697,0.7711
student_57,Tech/Analytical,0.3025,0.8539,0.2899,0.3023,0.4697,0.6594,0.8916,0.9129,0.5218,0.3963,0.4174,0.8732,0.8558,0.2905,0.71,0.481,0.8909,0.8743,0.3008,0.4025
student_58,Practical/Realistic,0.9,0.6496,0.2356,0.3068,0.4863,0.5619,0.6711,0.8366,0.4408,0.314,0.5291,0.7885,0.8615,0.3585,0.5874,0.594,0.8672,0.7955,0.2617,0.3744
student_59,Business/Leadership,0.3018,0.5172,0.3477,0.5658,0.8821,0.686,0.4196,0.6953,0.8108,0.5694,0.9496,0.7595,0.5931,0.4983,0.5548,0.7891,0.6301,0.4902,0.3874,0.7555
student_60,Social/People,0.2047,0.3903,0.5381,0.8723,0.5777,0.5448,0.2814,0.5531,0.9228,0.6354,0.7201,0.3649,0.3233,0.5427,0.5361,0.8833,0.3604,0.5176,0.7855,0.8057
student_61,Social/People,0.1727,0.4585,0.4674,0.8421,0.4731,0.4984,0.2812,0.4696,0.8583,0.5964,0.6339,0.4334,0.3536,0.436,0.5364,0.867,0.414,0.5588,0.6177,0.855
student_62,Practical/Realistic,0.9315,0.667,0.274,0.3171,0.4288,0.6143,0.7265,0.875,0.5393,0.3734,0.5616,0.7854,0.8491,0.3208,0.5446,0.5753,0.8277,0.7952,0.2238,0.3898
student_63,Creative,0.2278,0.3784,0.8853,0.4376,0.4351,0.2199,0.2977,0.5751,0.726,0.9341,0.4681,0.4484,0.3499,0.8617,0.6497,0.579,0.2927,0.3509,0.9269,0.5826
student_64,Creative,0.1804,0.3876,0.9091,0.5107,0.4711,0.3643,0.3443,0.5245,0.6559,0.8966,0.4989,0.5074,0.3334,0.9072,0.5995,0.588,0.3808,0.333,0.9043,0.6834
student_65,Creative,0.2795,0.4018,0.9004,0.4993,0.4561,0.2955,0.3323,0.5331,0.699,0.9032,0.478,0.4533,0.3421,0.9465,0.5181,0.5837,0.3385,0.286,0.9094,0.6385
student_66,Practical/Realistic,0.8272,0.6257,0.2429,0.2666,0.4456,0.6026,0.6924,0.828,0.5057,0.365,0.5131,0.7977,0.8467,0.3506,0.574,0.6079,0.8822,0.8097,0.2293,0.4122
student_67,Practical/Realistic,0.8202,0.659,0.2501,0.2656,0.4778,0.6395,0.6322,0.8179,0.4676,0.3104,0.585,0.7418,0.8389,0.2655,0.5768,0.5478,0.8525,0.8117,0.3074,0.3448
student_68,Business/Leadership,0.3077,0.4875,0.3554,0.5439,0.9086,0.7886,0.4183,0.6463,0.7759,0.5705,0.8555,0.6332,0.6157,0.5506,0.5498,0.8338,0.6533,0.496,0.4371,0.7383
student_69,Business/Leadership,0.3593,0.4685,0.3131,0.4699,0.8562,0.7008,0.5111,0.7376,0.8244,0.6338,0.9365,0.7079,0.507,0.5352,0.4983,0.7388,0.688,0.5907,0.4515,0.771
student_70,Business/Leadership,0.3441,0.4586,0.3744,0.5081,0.8552,0.8262,0.4424,0.7087,0.8846,0.5697,0.906,0.7345,0.6957,0.4477,0.558,0.8418,0.694,0.5473,0.4254,0.7045
student_71,Business/Leadership,0.2665,0.4906,0.4101,0.5714,0.8609,0.7691,0.4967,0.7309,0.852,0.5284,0.9233,0.7331,0.6299,0.4712,0.5851,0.7821,0.694,0.5066,0.4693,0.727
student_72,Business/Leadership,0.3084,0.5393,0.4132,0.5328,0.9205,0.7486,0.4435,0.7332,0.8745,0.4908,0.9554,0.7718,0.5765,0.4649,0.5685,0.8098,0.6293,0.4748,0.399,0.794
student_73,Business/Leadership,0.3527,0.5632,0.3513,0.5195,0.8986,0.7226,0.5315,0.7055,0.8352,0.5575,0.8455,0.6807,0.6486,0.4234,0.5076,0.8217,0.698,0.5291,0.4403,0.7194
student_74,Practical/Realistic,0.9221,0.6394,0.2872,0.3117,0.4466,0.6142,0.6502,0.8143,0.4622,0.3545,0.6049,0.8207,0.8702,0.3659,0.4929,0.5828,0.825,0.7803,0.2447,0.385
student_75,Business/Leadership,0.3119,0.5658,0.3593,0.6506,0.9019,0.6819,0.4791,0.7147,0.8999,0.576,0.8946,0.6726,0.5919,0.4171,0.5275,0.8228,0.7146,0.5153,0.3537,0.7672
student_76,Social/People,0.2228,0.4264,0.4481,0.7727,0.4988,0.5786,0.3736,0.4797,0.8933,0.6208,0.6557,0.4134,0.384,0.5544,0.5456,0.891,0.3611,0.4633,0.69,0.8663
student_77,Business/Leadership,0.3116,0.4711,0.3475,0.5626,0.8923,0.7662,0.5118,0.7174,0.8406,0.5869,0.9456,0.673,0.6229,0.4769,0.5386,0.8527,0.6443,0.5048,0.3934,0.7506
student_78,Social/People,0.2008,0.4949,0.4975,0.9144,0.4662,0.5136,0.294,0.5314,0.9578,0.6824,0.7184,0.4104,0.3562,0.4888,0.5608,0.8906,0.4054,0.5419,0.668,0.8863
student_79,Tech/Analytical,0.3455,0.773,0.2783,0.2335,0.3805,0.6449,0.9027,0.8355,0.4705,0.378,0.4199,0.8589,0.8219,0.3231,0.8384,0.5762,0.8165,0.8577,0.2227,0.4352
student_80,Creative,0.1885,0.4168,0.8402,0.5689,0.4461,0.3533,0.3664,0.5718,0.7272,0.9414,0.5307,0.5135,0.3594,0.9339,0.5957,0.6188,0.2677,0.436,0.9181,0.5817
student_81,Tech/Analytical,0.2524,0.803,0.2647,0.3231,0.4445,0.6433,0.8433,0.8414,0.5212,0.3711,0.4712,0.98,0.8435,0.3967,0.7892,0.5768,0.887,0.8812,0.2182,0.3903
student_82,Creative,0.1662,0.32,0.8279,0.5021,0.4615,0.2599,0.3783,0.4764,0.6971,0.8663,0.4711,0.4521,0.3119,0.883,0.6446,0.5244,0.337,0.2999,0.9435,0.7139
student_83,Creative,0.2228,0.392,0.9147,0.4761,0.4534,0.2938,0.3962,0.5601,0.7134,0.9037,0.4807,0.4329,0.3656,0.8834,0.6115,0.6321,0.3344,0.3371,0.9675,0.6339
student_84,Business/Leadership,0.2869,0.5555,0.32,0.5624,0.8428,0.8454,0.3972,0.7138,0.8782,0.5684,0.8918,0.7142,0.6019,0.4435,0.5929,0.8983,0.6252,0.4391,0.3961,0.8648
student_85,Social/People,0.2506,0.4711,0.4658,0.962,0.5408,0.5195,0.2924,0.4679,0.9076,0.6364,0.763,0.4516,0.3337,0.4626,0.5547,0.8409,0.4108,0.4951,0.6844,0.7967
student_86,Business/Leadership,0.3624,0.5156,0.3237,0.5479,0.9008,0.7528,0.4701,0.6656,0.8563,0.4972,0.8958,0.6863,0.5725,0.4961,0.5907,0.8227,0.6092,0.4882,0.4453,0.7553
student_87,Tech/Analytical,0.2881,0.8429,0.2492,0.2555,0.3992,0.5872,0.9143,0.8432,0.5231,0.4181,0.4452,0.8678,0.8507,0.3322,0.76,0.5506,0.9043,0.8157,0.2511,0.4221
student_88,Creative,0.2694,0.4012,0.8753,0.5076,0.446,0.2922,0.3717,0.5767,0.6813,0.8997,0.4903,0.3687,0.2965,0.9483,0.6581,0.5412,0.3204,0.361,0.98,0.6895
student_89,Creative,0.2025,0.383,0.917,0.5119,0.4869,0.2819,0.3404,0.5152,0.6842,0.9334,0.5269,0.4172,0.3809,0.9482,0.6147,0.6168,0.2725,0.3057,0.8567,0.7032
student_90,Creative,0.1395,0.3666,0.8523,0.5753,0.4902,0.3546,0.381,0.5015,0.6775,0.941,0.4475,0.4806,0.3397,0.8839,0.6306,0.5691,0.2845,0.3998,0.8735,0.6765
student_91,Tech/Analytical,0.2704,0.8425,0.2419,0.3409,0.4307,0.6303,0.9486,0.8808,0.5254,0.3384,0.4621,0.8452,0.8236,0.3722,0.7195,0.6279,0.8625,0.8048,0.2931,0.4295
student_92,Social/People,0.194,0.4954,0.4787,0.8736,0.4841,0.4685,0.304,0.5536,0.9307,0.5917,0.6904,0.3484,0.3791,0.4974,0.544,0.98,0.4099,0.4752,0.6859,0.8879
student_93,Business/Leadership,0.3266,0.402,0.3895,0.4901,0.8675,0.7115,0.4054,0.74,0.8339,0.5619,0.8984,0.7364,0.6026,0.4058,0.5843,0.783,0.5964,0.4853,0.4517,0.7793
student_94,Social/People,0.21,0.4147,0.485,0.8627,0.5505,0.501,0.3892,0.4972,0.8868,0.529,0.6154,0.3257,0.3625,0.5239,0.4758,0.942,0.3773,0.5069,0.7756,0.8921
student_95,Business/Leadership,0.279,0.5112,0.2944,0.5654,0.8793,0.7693,0.4578,0.7476,0.8544,0.535,0.9043,0.739,0.6017,0.4514,0.5255,0.7769,0.601,0.5611,0.3566,0.7258
student_96,Tech/Analytical,0.22,0.836,0.2333,0.2375,0.4126,0.6112,0.9002,0.87,0.4395,0.332,0.4354,0.8157,0.8131,0.3673,0.8306,0.5575,0.911,0.8468,0.168,0.3989
student_97,Tech/Analytical,0.2506,0.9173,0.2378,0.4259,0.429,0.5603,0.8504,0.9023,0.4897,0.383,0.4719,0.8466,0.7808,0.2799,0.7293,0.5896,0.9099,0.7924,0.258,0.4178
student_98,Practical/Realistic,0.9229,0.6701,0.238,0.2805,0.4535,0.6527,0.6579,0.8001,0.5056,0.3517,0.5559,0.7583,0.8424,0.4007,0.4956,0.5718,0.8465,0.7441,0.244,0.4565
student_99,Tech/Analytical,0.2484,0.9191,0.1343,0.3363,0.4038,0.5868,0.9041,0.7922,0.4903,0.3658,0.5153,0.8271,0.7843,0.3278,0.7904,0.5645,0.8766,0.8727,0.2543,0.4428
student_100,Practical/Realistic,0.8329,0.6754,0.2136,0.3081,0.5203,0.5688,0.6142,0.8403,0.5373,0.4164,0.5083,0.7668,0.8342,0.3464,0.6397,0.549,0.8586,0.8159,0.2868,0.4033
